email,passwordHash,salt,admin,firstName,lastName,birthYear,hometown,interests
asdfg@gmail.com,ece72761847670da13621b6476f6829aa71667da1da42276466d7e9b495b441b,OWTL12M1,false,ASDF,ASDF,1999,ATLANTA,Nothing
nono@gmail.com,adf480e9d15f26bc97237500f3afe185ae685ab40f44813b6a1444598cbc8ba9,KW2FJ6SY,false,NO,NONO,2000,NO,no
god@god.com,9171c10ec0e8269147b431b57e4e83e81cc4e16325a2969752bf9fc0b293e8c0,78H6JGNY,true,JESUS,JESUSY,2000,WOAH,woah
satan@hell.com,f0880011f9fa8b45f4d3fbfbca87c2d89dc4df45dba60a58cba28d1e92c2df26,7Z5GLCI3,true,SATAN,SATAN,1999,HELL,death
teddy@gmail.com,d53659da42d420da0f9caf5d5482a53bfad421501940fbf7889a893b2eeb915a,8KY1FPS2,true,TEDDY,BEAR,2000,NO,no
lebron@gmail.com,f1b996316d6e35869f24aaf6e074412b9e783427f619fed72b7fcdf4ff311304,JCZ8ALQ7,true,LEBRON,JAMES,2000,NO,no
npoulos9825@gmail.com,2924826721746b1edad3744cae13a8662ebd631a7a49953cd09ddfc1de71b676,U87HVXIC,true,NICK,POULOS,1999,TUCKER, GA
asdf@gmail.com,42328ae0206c18efeec8cb4e66ef8e68adff576783817dfe31567b16b52b3919,VEQUNLZQ,true,ASD,ASDF,2000,123,123
asldfkjas@gmail.com,6bd33470b121331d957be41225090bf97310bac50c65d1a22c6bebf4b02a96aa,EV3AMH4D,true,AS,ASD,2000,ASD,sdjfsk
bobby@gmail.com,6ec9b236be729ce7be0d4b5d3e2d0e52f3c0e3c1504ea8188d978a15c147b32a,JJ0WB71K,true,BOB,BOBY,2000,NO,no
gaga@gmail.com,f4656e5d52b4f6687961894b2e14e849f6c905cabcaa3a29ca44438f73d950d0,6O6H0UDH,true,LADY,GAGA,2000,NO,yes
jeses@god.com,00641ba74e23199ae3f3731b5e5505bedc85545acec2232cd0d5927323323cbd,SHIQKOBO,true,GOD,JESUS,2000,JERUSALEM,salvation
satanic@satan.com,f80615e50f2ec2f5d010c12a5e53afb941e2a7eba37cf5d1ec750265adba8d5c,8WHD3VUQ,false,SATANIC,SATAN,2000,NO,hell
jojo@gmail.cm,38045be9d19718ef26791643e95617ad476fd20b9f5a799c481a3f9fdf87ad9e,6AGTQ6CJ,true,JOJO,SHELVEY,2000,ASDF,asdf
ho@gmail.com,8171b154a08129fd7c057bd716f3d21f17aa9bb13e6e34fab57bfb941180c6c3,OTK1PWG8,false,HO,HO,2000,A,no
alimirz@gmail.com,8ed9c920982c30fc3e063de8ab5058d45dadb7f3414dc3a1833f4ae450f354fb,IIXAG7AO,true,NICK P,MIRZAZADEH,2000,NO,yes
